Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;2679435.817;1235653.185;de
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;2679815.475;1237410.215;de
Zwillikon;8909;0;Affoltern am Albis;2;ZH;2675104.519;1237890.488;de
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;2676439.358;1236966.371;de
Bonstetten;8906;0;Bonstetten;3;ZH;2677798.571;1241024.843;de
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;2682996.334;1232961.650;de
Ebertswil;8925;0;Hausen am Albis;4;ZH;2684168.704;1231176.639;de
Hedingen;8908;0;Hedingen;5;ZH;2676518.511;1239054.300;de
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;2682261.569;1231284.424;de
Hauptikon;8926;2;Kappel am Albis;6;ZH;2680023.421;1231589.698;de
Uerzlikon;8926;3;Kappel am Albis;6;ZH;2680340.966;1230665.100;de
Knonau;8934;0;Knonau;7;ZH;2677402.530;1230821.895;de
Maschwanden;8933;0;Maschwanden;8;ZH;2674785.638;1232061.104;de
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;2677613.728;1232937.775;de
Obfelden;8912;0;Obfelden;10;ZH;2674501.570;1235213.694;de
Ottenbach;8913;0;Ottenbach;11;ZH;2673060.190;1237324.410;de
Rifferswil;8911;0;Rifferswil;12;ZH;2680092.764;1233046.147;de
Stallikon;8143;0;Stallikon;13;ZH;2679551.152;1242199.329;de
Uetliberg;8143;2;Stallikon;13;ZH;2679542.219;1244824.958;de
Wettswil;8907;0;Wettswil am Albis;14;ZH;2678321.275;1243534.577;de
Adlikon b. Andelfingen;8452;0;Adlikon;21;ZH;2694310.927;1271012.841;de
Benken ZH;8463;0;Benken (ZH);22;ZH;2691310.510;1278717.046;de
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;2687249.230;1269506.088;de
Gräslikon;8415;1;Berg am Irchel;23;ZH;2687807.944;1268052.982;de
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;2689123.459;1267147.904;de
Dachsen;8447;0;Dachsen;25;ZH;2688270.151;1280253.563;de
Dorf;8458;0;Dorf;26;ZH;2690995.859;1269698.759;de
Feuerthalen;8245;0;Feuerthalen;27;ZH;2690270.719;1282950.165;de
Langwiesen;8246;0;Feuerthalen;27;ZH;2691950.484;1282201.614;de
Flaach;8416;0;Flaach;28;ZH;2687597.751;1269830.651;de
Flurlingen;8247;0;Flurlingen;29;ZH;2689293.005;1282181.554;de
Andelfingen;8450;0;Andelfingen;30;ZH;2693252.733;1272313.463;de
Henggart;8444;0;Henggart;31;ZH;2693670.005;1268741.724;de
Humlikon;8457;0;Humlikon;32;ZH;2692613.574;1270162.340;de
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;2693580.745;1272835.330;de
Alten;8453;0;Kleinandelfingen;33;ZH;2690909.103;1272782.126;de
Oerlingen;8461;0;Kleinandelfingen;33;ZH;2693030.947;1275546.237;de
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;2687813.238;1280577.244;de
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;2689803.244;1280733.346;de
Marthalen;8460;0;Marthalen;35;ZH;2690936.245;1275649.406;de
Ellikon am Rhein;8464;0;Marthalen;35;ZH;2687135.142;1273399.080;de
Ossingen;8475;0;Ossingen;37;ZH;2696777.455;1274089.226;de
Rheinau;8462;0;Rheinau;38;ZH;2687521.248;1277681.538;de
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;2698983.998;1270637.581;de
Rudolfingen;8465;0;Trüllikon;40;ZH;2692789.382;1277363.711;de
Wildensbuch;8465;1;Trüllikon;40;ZH;2692956.133;1278630.729;de
Trüllikon;8466;0;Trüllikon;40;ZH;2694209.751;1277042.348;de
Truttikon;8467;0;Truttikon;41;ZH;2696797.740;1276290.175;de
Volken;8459;0;Volken;43;ZH;2689565.958;1269805.068;de
Bachenbülach;8184;0;Bachenbülach;51;ZH;2683462.274;1262012.895;de
Bassersdorf;8303;0;Bassersdorf;52;ZH;2689695.006;1255514.479;de
Bülach;8180;0;Bülach;53;ZH;2683021.830;1263508.066;de
Dietlikon;8305;0;Dietlikon;54;ZH;2688817.012;1253412.981;de
Eglisau;8193;0;Eglisau;55;ZH;2681815.679;1269952.914;de
Embrach;8424;0;Embrach;56;ZH;2687141.459;1261805.694;de
Freienstein;8427;2;Freienstein-Teufen;57;ZH;2686761.504;1265290.239;de
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;2684966.796;1267185.269;de
Glattfelden;8192;0;Glattfelden;58;ZH;2679801.957;1268104.981;de
Zweidlen;8192;1;Glattfelden;58;ZH;2677369.414;1268307.661;de
Hochfelden;8182;0;Hochfelden;59;ZH;2681099.691;1264180.526;de
Höri;8181;0;Höri;60;ZH;2680594.480;1262401.736;de
Hüntwangen;8194;0;Hüntwangen;61;ZH;2679293.494;1272172.461;de
Kloten;8302;0;Kloten;62;ZH;2686403.336;1256379.770;de
Lufingen;8426;0;Lufingen;63;ZH;2687042.413;1260600.128;de
Nürensdorf;8309;0;Nürensdorf;64;ZH;2691300.232;1255946.840;de
Oberembrach;8425;0;Oberembrach;65;ZH;2688837.841;1260294.041;de
Glattbrugg;8152;0;Opfikon;66;ZH;2685213.008;1254283.782;de
Opfikon;8152;1;Opfikon;66;ZH;2685912.276;1254113.352;de
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;2684738.576;1253099.549;de
Rafz;8197;0;Rafz;67;ZH;2682428.159;1274321.568;de
Rorbas;8427;3;Rorbas;68;ZH;2685808.531;1264872.140;de
Wallisellen;8304;0;Wallisellen;69;ZH;2687028.296;1251957.299;de
Wasterkingen;8195;0;Wasterkingen;70;ZH;2677774.329;1271560.353;de
Wil ZH;8196;0;Wil (ZH);71;ZH;2680078.234;1272987.440;de
Winkel;8185;0;Winkel;72;ZH;2684086.006;1260790.906;de
Bachs;8164;0;Bachs;81;ZH;2675343.754;1264293.432;de
Boppelsen;8113;0;Boppelsen;82;ZH;2672671.317;1258197.089;de
Buchs ZH;8107;0;Buchs (ZH);83;ZH;2675366.427;1256927.317;de
Dällikon;8108;0;Dällikon;84;ZH;2675488.101;1254829.540;de
Dänikon ZH;8114;0;Dänikon;85;ZH;2672916.946;1255465.749;de
Dielsdorf;8157;0;Dielsdorf;86;ZH;2676493.291;1259763.939;de
Hüttikon;8115;0;Hüttikon;87;ZH;2671541.363;1255465.116;de
Neerach;8173;0;Neerach;88;ZH;2678030.417;1263041.392;de
Niederglatt ZH;8172;0;Niederglatt;89;ZH;2680253.621;1260177.562;de
Niederhasli;8155;0;Niederhasli;90;ZH;2678776.325;1259586.315;de
Nassenwil;8155;1;Niederhasli;90;ZH;2677870.326;1257732.645;de
Oberhasli;8156;0;Niederhasli;90;ZH;2679892.325;1257721.445;de
Niederweningen;8166;0;Niederweningen;91;ZH;2670093.118;1261902.881;de
Oberglatt ZH;8154;0;Oberglatt;92;ZH;2681567.179;1258991.046;de
Oberweningen;8165;2;Oberweningen;93;ZH;2672985.153;1261896.885;de
Otelfingen;8112;0;Otelfingen;94;ZH;2671517.020;1257223.610;de
Regensberg;8158;0;Regensberg;95;ZH;2675383.706;1259633.809;de
Regensdorf;8105;0;Regensdorf;96;ZH;2677477.967;1253827.099;de
Watt;8105;2;Regensdorf;96;ZH;2678645.200;1255191.086;de
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;2677521.264;1255768.428;de
Rümlang;8153;0;Rümlang;97;ZH;2682508.372;1256231.000;de
Schleinikon;8165;3;Schleinikon;98;ZH;2671798.328;1261250.764;de
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;2673707.449;1261493.386;de
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;2677374.509;1264551.456;de
Windlach;8175;0;Stadel;100;ZH;2678023.589;1266117.482;de
Steinmaur;8162;0;Steinmaur;101;ZH;2676631.158;1261425.771;de
Sünikon;8162;1;Steinmaur;101;ZH;2675153.950;1260470.886;de
Weiach;8187;0;Weiach;102;ZH;2675209.779;1267912.501;de
Bäretswil;8344;0;Bäretswil;111;ZH;2707099.768;1243930.628;de
Adetswil;8345;0;Bäretswil;111;ZH;2705932.480;1244241.618;de
Bubikon;8608;0;Bubikon;112;ZH;2704320.332;1236261.196;de
Wolfhausen;8633;0;Bubikon;112;ZH;2703047.613;1234854.447;de
Tann;8632;0;Dürnten;113;ZH;2706928.524;1235700.164;de
Dürnten;8635;0;Dürnten;113;ZH;2706266.422;1237310.721;de
Steg im Tösstal;8496;0;Fischenthal;114;ZH;2712851.536;1245858.520;de
Fischenthal;8497;0;Fischenthal;114;ZH;2711914.209;1243345.454;de
Gibswil;8498;0;Fischenthal;114;ZH;2711646.026;1241391.824;de
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);115;ZH;2699688.150;1241957.491;de
Grüt (Gossau ZH);8624;0;Gossau (ZH);115;ZH;2701575.844;1240888.158;de
Gossau ZH;8625;0;Gossau (ZH);115;ZH;2700134.874;1239751.313;de
Ottikon (Gossau ZH);8626;0;Gossau (ZH);115;ZH;2701404.154;1239266.307;de
Grüningen;8627;0;Grüningen;116;ZH;2700106.311;1237944.346;de
Hinwil;8340;0;Hinwil;117;ZH;2706524.739;1239877.859;de
Wernetshausen;8342;0;Hinwil;117;ZH;2707983.769;1239658.474;de
Rüti ZH;8630;0;Rüti (ZH);118;ZH;2706756.409;1235203.673;de
Aathal-Seegräben;8607;0;Seegräben;119;ZH;2700585.855;1244029.105;de
Wald ZH;8636;0;Wald (ZH);120;ZH;2711773.281;1237290.649;de
Laupen ZH;8637;0;Wald (ZH);120;ZH;2712733.827;1235981.384;de
Wetzikon ZH;8620;0;Wetzikon (ZH);121;ZH;2703395.907;1242180.548;de
Wetzikon ZH;8623;0;Wetzikon (ZH);121;ZH;2704513.556;1243287.879;de
Adliswil;8134;0;Adliswil;131;ZH;2681938.412;1240783.763;de
Kilchberg ZH;8802;0;Kilchberg (ZH);135;ZH;2683478.103;1241647.678;de
Langnau am Albis;8135;0;Langnau am Albis;136;ZH;2682904.133;1238062.263;de
Oberrieden;8942;0;Oberrieden;137;ZH;2686107.988;1236859.196;de
Richterswil;8805;0;Richterswil;138;ZH;2695631.504;1229360.099;de
Samstagern;8833;0;Richterswil;138;ZH;2693942.346;1227812.508;de
Rüschlikon;8803;0;Rüschlikon;139;ZH;2684407.121;1240427.354;de
Gattikon;8136;0;Thalwil;141;ZH;2684120.138;1237676.409;de
Thalwil;8800;0;Thalwil;141;ZH;2685516.671;1238319.346;de
Erlenbach ZH;8703;0;Erlenbach (ZH);151;ZH;2687193.486;1239686.237;de
Herrliberg;8704;0;Herrliberg;152;ZH;2689134.385;1237813.729;de
Hombrechtikon;8634;0;Hombrechtikon;153;ZH;2700313.487;1234409.234;de
Feldbach;8714;0;Hombrechtikon;153;ZH;2701724.364;1232869.143;de
Forch;8127;0;Küsnacht (ZH);154;ZH;2691437.226;1242318.845;de
Küsnacht ZH;8700;0;Küsnacht (ZH);154;ZH;2686560.666;1241297.629;de
Männedorf;8708;0;Männedorf;155;ZH;2695008.936;1234513.555;de
Meilen;8706;0;Meilen;156;ZH;2690904.598;1235938.481;de
Oetwil am See;8618;0;Oetwil am See;157;ZH;2697205.392;1236271.416;de
Stäfa;8712;0;Stäfa;158;ZH;2697854.545;1232808.785;de
Uerikon;8713;0;Stäfa;158;ZH;2699808.724;1232354.178;de
Uetikon am See;8707;0;Uetikon am See;159;ZH;2693716.881;1235285.401;de
Zumikon;8126;0;Zumikon;160;ZH;2689540.547;1242957.626;de
Zollikerberg;8125;0;Zollikon;161;ZH;2687924.801;1244779.637;de
Zollikon;8702;0;Zollikon;161;ZH;2685818.700;1243666.667;de
Fehraltorf;8320;0;Fehraltorf;172;ZH;2699186.202;1249307.536;de
Hittnau;8335;0;Hittnau;173;ZH;2704660.151;1246488.176;de
Kemptthal;8310;0;Lindau;176;ZH;2695550.928;1256551.695;de
Grafstal;8310;1;Lindau;176;ZH;2695003.518;1255548.600;de
Winterberg ZH;8312;0;Lindau;176;ZH;2694518.703;1256951.132;de
Lindau;8315;0;Lindau;176;ZH;2692927.828;1255292.440;de
Tagelswangen;8317;0;Lindau;176;ZH;2693038.100;1254021.243;de
Pfäffikon ZH;8330;0;Pfäffikon;177;ZH;2701404.064;1246909.638;de
Auslikon;8331;0;Pfäffikon;177;ZH;2703391.181;1244751.001;de
Madetswil;8322;0;Russikon;178;ZH;2702098.694;1251919.066;de
Gündisau;8322;2;Russikon;178;ZH;2703330.180;1250589.610;de
Russikon;8332;0;Russikon;178;ZH;2700793.245;1250344.395;de
Rumlikon;8332;2;Russikon;178;ZH;2699706.939;1251781.432;de
Weisslingen;8484;0;Weisslingen;180;ZH;2700069.196;1254471.688;de
Neschwil;8484;2;Weisslingen;180;ZH;2701818.202;1254142.707;de
Theilingen;8484;3;Weisslingen;180;ZH;2700292.402;1253105.006;de
Wila;8492;0;Wila;181;ZH;2706184.933;1253019.283;de
Wildberg;8489;0;Wildberg;182;ZH;2703969.685;1253880.519;de
Schalchen;8489;1;Wildberg;182;ZH;2704729.424;1251604.178;de
Ehrikon;8489;2;Wildberg;182;ZH;2703408.690;1252918.173;de
Gockhausen;8044;1;Dübendorf;191;ZH;2687882.735;1248707.398;de
Dübendorf;8600;0;Dübendorf;191;ZH;2689039.178;1250030.586;de
Egg b. Zürich;8132;0;Egg;192;ZH;2694747.198;1239619.394;de
Hinteregg;8132;2;Egg;192;ZH;2694193.116;1240198.493;de
Esslingen;8133;0;Egg;192;ZH;2696145.539;1238274.311;de
Fällanden;8117;0;Fällanden;193;ZH;2690613.796;1247324.466;de
Pfaffhausen;8118;0;Fällanden;193;ZH;2689480.594;1246774.410;de
Benglen;8121;0;Fällanden;193;ZH;2690551.561;1246283.214;de
Greifensee;8606;2;Greifensee;194;ZH;2693540.314;1246753.467;de
Binz;8122;0;Maur;195;ZH;2689784.273;1245779.106;de
Ebmatingen;8123;0;Maur;195;ZH;2690768.094;1245208.235;de
Maur;8124;0;Maur;195;ZH;2693275.488;1243727.577;de
Mönchaltorf;8617;0;Mönchaltorf;196;ZH;2697038.463;1240712.991;de
Schwerzenbach;8603;0;Schwerzenbach;197;ZH;2691638.045;1248370.511;de
Nänikon;8606;0;Uster;198;ZH;2694770.157;1247350.908;de
Uster;8610;0;Uster;198;ZH;2696590.153;1244675.010;de
Sulzbach;8614;2;Uster;198;ZH;2698874.106;1242834.329;de
Wermatswil;8615;0;Uster;198;ZH;2698753.656;1246517.841;de
Freudwil;8615;2;Uster;198;ZH;2697836.381;1247907.242;de
Riedikon;8616;0;Uster;198;ZH;2696208.249;1243186.975;de
Volketswil;8604;0;Volketswil;199;ZH;2694588.412;1249446.613;de
Gutenswil;8605;0;Volketswil;199;ZH;2696600.770;1249044.373;de
Brüttisellen;8306;0;Wangen-Brüttisellen;200;ZH;2689874.096;1253172.491;de
Wangen b. Dübendorf;8602;0;Wangen-Brüttisellen;200;ZH;2691158.887;1251662.122;de
Altikon;8479;0;Altikon;211;ZH;2701260.546;1270261.118;de
Brütten;8311;0;Brütten;213;ZH;2693140.996;1258879.365;de
Rutschwil (Dägerlen);8471;0;Dägerlen;214;ZH;2697211.299;1268112.733;de
Dägerlen;8471;2;Dägerlen;214;ZH;2696592.996;1268587.821;de
Oberwil (Dägerlen);8471;3;Dägerlen;214;ZH;2696158.484;1269881.112;de
Berg (Dägerlen);8471;4;Dägerlen;214;ZH;2697420.121;1268915.268;de
Bänk (Dägerlen);8471;5;Dägerlen;214;ZH;2697902.475;1267217.121;de
Dättlikon;8421;0;Dättlikon;215;ZH;2689282.866;1264468.009;de
Dinhard;8474;0;Dinhard;216;ZH;2700078.494;1268012.879;de
Ellikon an der Thur;8548;0;Ellikon an der Thur;218;ZH;2704363.970;1268844.661;de
Elsau;8352;0;Elsau;219;ZH;2702749.189;1262604.095;de
Hagenbuch ZH;8523;0;Hagenbuch;220;ZH;2709145.345;1264371.623;de
Hettlingen;8442;0;Hettlingen;221;ZH;2695562.299;1267179.381;de
Aesch (Neftenbach);8412;0;Neftenbach;223;ZH;2693410.533;1266354.683;de
Riet (Neftenbach);8412;1;Neftenbach;223;ZH;2693980.766;1265828.311;de
Hünikon (Neftenbach);8412;2;Neftenbach;223;ZH;2692552.152;1267549.709;de
Neftenbach;8413;0;Neftenbach;223;ZH;2692563.901;1264927.290;de
Pfungen;8422;0;Pfungen;224;ZH;2690982.649;1263492.630;de
Rickenbach ZH;8545;0;Rickenbach (ZH);225;ZH;2702012.571;1267628.168;de
Rickenbach Sulz;8545;1;Rickenbach (ZH);225;ZH;2701580.334;1266425.231;de
Schlatt ZH;8418;0;Schlatt (ZH);226;ZH;2704590.249;1258388.534;de
Seuzach;8472;0;Seuzach;227;ZH;2697861.469;1265866.211;de
Turbenthal;8488;0;Turbenthal;228;ZH;2706270.900;1254771.926;de
Schmidrüti;8495;0;Turbenthal;228;ZH;2710539.133;1252587.176;de
Ricketwil (Winterthur);8352;2;Winterthur;230;ZH;2702669.299;1260354.112;de
Winterthur;8400;0;Winterthur;230;ZH;2697279.147;1260895.570;de
Winterthur;8404;0;Winterthur;230;ZH;2699485.401;1262695.204;de
Reutlingen (Winterthur);8404;2;Winterthur;230;ZH;2698853.048;1264961.741;de
Stadel (Winterthur);8404;3;Winterthur;230;ZH;2699603.838;1265707.461;de
Winterthur;8405;0;Winterthur;230;ZH;2700976.918;1259392.693;de
Winterthur;8406;0;Winterthur;230;ZH;2695114.823;1259926.569;de
Winterthur;8408;0;Winterthur;230;ZH;2693769.064;1262631.146;de
Winterthur;8409;0;Winterthur;230;ZH;2701155.646;1262984.881;de
Sennhof (Winterthur);8482;0;Winterthur;230;ZH;2699466.553;1258434.841;de
Kollbrunn;8483;0;Zell (ZH);231;ZH;2700891.403;1257139.086;de
Rikon im Tösstal;8486;0;Zell (ZH);231;ZH;2702434.691;1255767.565;de
Zell ZH;8487;0;Zell (ZH);231;ZH;2704382.301;1256224.196;de
Rämismühle;8487;1;Zell (ZH);231;ZH;2704123.280;1255446.589;de
Aesch ZH;8904;0;Aesch (ZH);241;ZH;2675547.080;1243424.887;de
Birmensdorf ZH;8903;0;Birmensdorf (ZH);242;ZH;2675748.694;1245018.364;de
Dietikon;8953;0;Dietikon;243;ZH;2672846.655;1250902.783;de
Fahrweid;8951;0;Geroldswil;244;ZH;2673726.972;1251525.700;de
Geroldswil;8954;0;Geroldswil;244;ZH;2673324.214;1252856.858;de
Oberengstringen;8102;0;Oberengstringen;245;ZH;2677266.834;1251343.498;de
Oetwil an der Limmat;8955;0;Oetwil an der Limmat;246;ZH;2672155.942;1253478.624;de
Schlieren;8952;0;Schlieren;247;ZH;2676033.021;1250018.899;de
Uitikon Waldegg;8142;0;Uitikon;248;ZH;2676688.345;1247163.795;de
Unterengstringen;8103;0;Unterengstringen;249;ZH;2676285.378;1251881.399;de
Urdorf;8902;0;Urdorf;250;ZH;2674389.191;1248448.074;de
Weiningen ZH;8104;0;Weiningen (ZH);251;ZH;2675258.923;1252680.624;de
Zürich;8001;0;Zürich;261;ZH;2683284.990;1247385.911;de
Zürich;8002;0;Zürich;261;ZH;2682633.662;1246102.034;de
Zürich;8003;0;Zürich;261;ZH;2681380.488;1247418.389;de
Zürich;8004;0;Zürich;261;ZH;2681918.025;1248028.860;de
Zürich;8005;0;Zürich;261;ZH;2681701.755;1249000.387;de
Zürich;8006;0;Zürich;261;ZH;2683401.384;1248912.802;de
Zürich;8008;0;Zürich;261;ZH;2684827.365;1245360.892;de
Zürich;8032;0;Zürich;261;ZH;2685037.286;1246814.830;de
Zürich;8037;0;Zürich;261;ZH;2681953.835;1250308.007;de
Zürich;8038;0;Zürich;261;ZH;2682996.749;1243993.364;de
Zürich;8041;0;Zürich;261;ZH;2681400.130;1243358.047;de
Zürich;8044;0;Zürich;261;ZH;2685649.038;1248349.892;de
Zürich;8045;0;Zürich;261;ZH;2680624.191;1245077.092;de
Zürich;8046;0;Zürich;261;ZH;2680711.467;1252924.289;de
Zürich;8047;0;Zürich;261;ZH;2679179.333;1247534.652;de
Zürich;8048;0;Zürich;261;ZH;2678922.355;1248960.545;de
Zürich;8049;0;Zürich;261;ZH;2680142.327;1251417.780;de
Zürich;8050;0;Zürich;261;ZH;2683936.018;1251830.560;de
Zürich;8051;0;Zürich;261;ZH;2686070.185;1250494.944;de
Zürich;8052;0;Zürich;261;ZH;2683149.824;1253212.307;de
Zürich;8053;0;Zürich;261;ZH;2687537.085;1246250.877;de
Zürich;8055;0;Zürich;261;ZH;2679440.756;1246459.197;de
Zürich;8057;0;Zürich;261;ZH;2683697.597;1250491.502;de
Zürich;8064;0;Zürich;261;ZH;2679008.597;1250286.081;de
Waltalingen;8468;0;Stammheim;292;ZH;2700750.497;1275506.400;de
Guntalingen;8468;2;Stammheim;292;ZH;2699996.651;1276849.031;de
Unterstammheim;8476;0;Stammheim;292;ZH;2701723.355;1277563.847;de
Oberstammheim;8477;0;Stammheim;292;ZH;2702399.030;1276817.052;de
Wilen b. Neunforn;8525;2;Stammheim;292;ZH;2702160.722;1273317.018;de
Au ZH;8804;0;Wädenswil;293;ZH;2691173.272;1233596.416;de
Wädenswil;8820;0;Wädenswil;293;ZH;2693383.355;1231571.703;de
Schönenberg ZH;8824;0;Wädenswil;293;ZH;2691422.017;1227586.468;de
Hütten;8825;0;Wädenswil;293;ZH;2693268.492;1225696.726;de
Elgg;8353;0;Elgg;294;ZH;2707682.213;1260915.773;de
Hofstetten ZH;8354;0;Elgg;294;ZH;2706672.264;1258998.379;de
Dickbuch;8354;1;Elgg;294;ZH;2704962.920;1261558.059;de
Sihlbrugg Station;8135;2;Horgen;295;ZH;2686207.259;1232655.455;de
Sihlwald;8135;3;Horgen;295;ZH;2684670.626;1235867.874;de
Horgen;8810;0;Horgen;295;ZH;2687701.655;1234937.778;de
Horgenberg;8815;0;Horgen;295;ZH;2686699.554;1233626.595;de
Hirzel;8816;0;Horgen;295;ZH;2688474.593;1230223.901;de
Effretikon;8307;0;Illnau-Effretikon;296;ZH;2694372.705;1253790.746;de
Ottikon b. Kemptthal;8307;2;Illnau-Effretikon;296;ZH;2696427.485;1254549.849;de
Illnau;8308;0;Illnau-Effretikon;296;ZH;2696907.795;1251697.458;de
Agasul;8308;2;Illnau-Effretikon;296;ZH;2698440.234;1253527.370;de
Kyburg;8314;0;Illnau-Effretikon;296;ZH;2698482.654;1257152.513;de
Saland;8493;0;Bauma;297;ZH;2706818.761;1249883.729;de
Bauma;8494;0;Bauma;297;ZH;2708661.156;1247267.620;de
Sternenberg;8499;0;Bauma;297;ZH;2711225.658;1249540.796;de
Wiesendangen;8542;0;Wiesendangen;298;ZH;2701740.839;1264266.544;de
Bertschikon;8543;0;Wiesendangen;298;ZH;2703612.118;1264915.743;de
Gundetswil;8543;1;Wiesendangen;298;ZH;2704176.040;1266375.953;de
Kefikon ZH;8543;2;Wiesendangen;298;ZH;2704811.598;1267392.849;de
Attikon;8544;0;Wiesendangen;298;ZH;2702348.754;1265902.114;de
Menzengrüt;8546;3;Wiesendangen;298;ZH;2704120.239;1267465.053;de
Aarberg;3270;0;Aarberg;301;BE;2587587.515;1210292.323;de
Bargen BE;3282;0;Bargen (BE);302;BE;2586219.013;1209918.738;de
Grossaffoltern;3257;0;Grossaffoltern;303;BE;2593938.246;1212749.280;de
Ammerzwil BE;3257;1;Grossaffoltern;303;BE;2592620.724;1213398.025;de
Suberg;3262;0;Grossaffoltern;303;BE;2592420.301;1212034.689;de
Golaten;3207;2;Kallnach;304;BE;2585060.751;1203868.298;de
Kallnach;3283;0;Kallnach;304;BE;2584135.733;1207439.213;de
Niederried b. Kallnach;3283;2;Kallnach;304;BE;2585837.156;1206627.138;de
Kappelen;3273;0;Kappelen;305;BE;2587005.169;1212144.611;de
Lyss;3250;0;Lyss;306;BE;2590040.344;1213293.261;de
Busswil BE;3292;0;Lyss;306;BE;2591179.029;1216628.476;de
Ortschwaben;3042;0;Meikirch;307;BE;2597205.397;1204392.496;de
Meikirch;3045;0;Meikirch;307;BE;2594221.724;1206480.165;de
Wahlendorf;3046;0;Meikirch;307;BE;2592335.189;1206301.190;de
Detligen;3036;0;Radelfingen;309;BE;2587387.041;1205645.066;de
Radelfingen b. Aarberg;3271;0;Radelfingen;309;BE;2587107.975;1207882.745;de
Lätti;3053;5;Rapperswil (BE);310;BE;2599362.524;1209827.249;de
Ruppoldsried;3251;2;Rapperswil (BE);310;BE;2599000.473;1215231.875;de
Rapperswil BE;3255;0;Rapperswil (BE);310;BE;2597820.652;1212457.820;de
Dieterswil;3256;0;Rapperswil (BE);310;BE;2598966.543;1211576.060;de
Bangerten b. Dieterswil;3256;2;Rapperswil (BE);310;BE;2600685.473;1211745.126;de
Seewil;3256;3;Rapperswil (BE);310;BE;2597739.572;1210781.796;de
Schüpfen;3054;0;Schüpfen;311;BE;2595300.440;1209688.319;de
Frieswil;3035;0;Seedorf (BE);312;BE;2588350.241;1204886.263;de
Wiler b. Seedorf;3266;0;Seedorf (BE);312;BE;2590982.904;1210841.195;de
Seedorf BE;3267;0;Seedorf (BE);312;BE;2590306.550;1209250.508;de
Lobsigen;3268;0;Seedorf (BE);312;BE;2588973.898;1208428.305;de
Aarwangen;4912;0;Aarwangen;321;BE;2625060.849;1232269.867;de
Auswil;4944;0;Auswil;322;BE;2629894.476;1220483.858;de
Bannwil;4913;0;Bannwil;323;BE;2622058.675;1231872.716;de
Bleienbach;3368;0;Bleienbach;324;BE;2624183.783;1226005.979;de
Busswil b. Melchnau;4917;2;Busswil bei Melchnau;325;BE;2629509.126;1226199.214;de
Gondiswil;4955;0;Gondiswil;326;BE;2632865.581;1221786.581;de
Langenthal;4900;0;Langenthal;329;BE;2626807.145;1229021.870;de
Untersteckholz;4916;0;Langenthal;329;BE;2630920.071;1228305.290;de
Obersteckholz;4924;0;Langenthal;329;BE;2628772.836;1227688.231;de
Lotzwil;4932;0;Lotzwil;331;BE;2626502.346;1226590.659;de
Gutenburg;4932;2;Madiswil;332;BE;2627051.671;1225686.330;de
Madiswil;4934;0;Madiswil;332;BE;2627353.045;1224108.080;de
Leimiswil;4935;0;Madiswil;332;BE;2624455.205;1222044.511;de
Kleindietwil;4936;0;Madiswil;332;BE;2626735.148;1221756.335;de
Melchnau;4917;0;Melchnau;333;BE;2631702.624;1225894.236;de
Oeschenbach;4943;0;Oeschenbach;335;BE;2623421.446;1216791.490;de
Reisiswil;4919;0;Reisiswil;336;BE;2630909.821;1223875.989;de
Roggwil BE;4914;0;Roggwil (BE);337;BE;2629003.364;1232180.636;de
Rohrbach;4938;0;Rohrbach;338;BE;2628344.133;1220278.799;de
Rohrbachgraben;4938;2;Rohrbachgraben;339;BE;2627460.219;1218935.876;de
Rütschelen;4933;0;Rütschelen;340;BE;2625204.051;1224749.170;de
Schwarzhäusern;4911;0;Schwarzhäusern;341;BE;2625085.673;1233853.175;de
Bützberg;4922;0;Thunstetten;342;BE;2623326.426;1229476.400;de
Thunstetten;4922;2;Thunstetten;342;BE;2623890.207;1228147.895;de
Ursenbach;4937;0;Ursenbach;344;BE;2625359.885;1220576.453;de
Wynau;4923;0;Wynau;345;BE;2628372.778;1234163.088;de
Bern;3004;0;Bern;351;BE;2601017.917;1203268.995;de
Bern;3005;0;Bern;351;BE;2600860.329;1198700.153;de
Bern;3006;0;Bern;351;BE;2602485.440;1199414.545;de
Bern;3007;0;Bern;351;BE;2599687.529;1198678.249;de
Bern;3008;0;Bern;351;BE;2598116.743;1199335.273;de
Bern;3010;0;Bern;351;BE;2598897.212;1199540.644;de
